nombre,url,categoria,categoria_url,imagen
LESCO&MATADOR,http://mbnecuador.com/mbnecuador/releases/lescomatador/,Urbano,http://mbnecuador.com/mbnecuador/releases-genre/urbano/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/TE-INVITO-A-MI-MUNDO-3.jpg&a=c&w=420&h=420&q=90
ZULAY MEDINA,http://mbnecuador.com/mbnecuador/releases/zulay-medina/,Pasillo,http://mbnecuador.com/mbnecuador/releases-genre/pasillo/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/18813269_2290669401157199_7047443444847686863_n.jpg&a=c&w=420&h=420&q=90
CHAKANA BIT,http://mbnecuador.com/mbnecuador/releases/chakana-bit/,Funk,http://mbnecuador.com/mbnecuador/releases-genre/funk/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/21.jpg&a=c&w=420&h=420&q=90
LAGO GRIS,http://mbnecuador.com/mbnecuador/releases/lago-gris/,Gothic,http://mbnecuador.com/mbnecuador/releases-genre/gothic/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/Lago-gris.jpg&a=c&w=420&h=420&q=90
ANDRES RMB,http://mbnecuador.com/mbnecuador/releases/andres-rmb/,Reggaeton,http://mbnecuador.com/mbnecuador/releases-genre/regueton/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/11425175_903045619761346_2413170835655345469_n.jpg&a=c&w=420&h=420&q=90
REILI Y ZUSW,http://mbnecuador.com/mbnecuador/releases/reili-y-zusw/,Pop Urbano,http://mbnecuador.com/mbnecuador/releases-genre/pop-urbano/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/rz.jpg&a=c&w=420&h=420&q=90
JOTA C LATIN SOUL,http://mbnecuador.com/mbnecuador/releases/jota-c-latin-soul/,Salsa,http://mbnecuador.com/mbnecuador/releases-genre/salsa/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/FOTO-2-1.jpg&a=c&w=420&h=420&q=90
ONE MILLION PEOPLE,http://mbnecuador.com/mbnecuador/releases/one-million-people/,Pop Urbano,http://mbnecuador.com/mbnecuador/releases-genre/pop-urbano/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/GRUPAL-WEB.jpg&a=c&w=420&h=420&q=90
SHOW ME THE TRUTH,http://mbnecuador.com/mbnecuador/releases/show-me-the-truth/,Metal,http://mbnecuador.com/mbnecuador/releases-genre/metal/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/SHOW-ME-THE-TRUTH.jpg&a=c&w=420&h=420&q=90
SAUL DE LA PAZ,http://mbnecuador.com/mbnecuador/releases/saul-de-la-paz/,Balada Pop,http://mbnecuador.com/mbnecuador/releases-genre/balada-pop/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/ironia-caratula.jpg&a=c&w=420&h=420&q=90
